N_FORAGE_TYPES,FORAGE_TYPE_NAME,TOTAL_AREA_BY_FORAGE_TYPE,AREA_UNIT,TIME_VECTOR_FORAGE_TYPE,forage_type_avail_vector1,forage_type_avail_vector2,forage_type_avail_vector3,forage_type_avail_vector4,forage_type_avail_vector5,forage_type_avail_vector6,forage_type_avail_vector7,forage_type_avail_vector8,forage_type_avail_vector9,forage_type_avail_vector10,forage_type_avail_vector11,forage_type_avail_vector12,forage_type_avail_vector13,forage_type_avail_vector14,forage_type_avail_vector15,forage_type_avail_vector16,forage_type_avail_vector17,forage_type_avail_vector18,forage_type_avail_vector19,forage_type_avail_vector20,forage_type_avail_vector21,forage_type_avail_vector22,forage_type_avail_vector23,forage_type_avail_vector24,forage_type_avail_vector25,forage_type_avail_vector26,forage_type_avail_vector27,forage_type_avail_vector28,forage_type_avail_vector29,forage_type_avail_vector30,forage_type_avail_vector31,forage_type_avail_vector32,forage_type_avail_vector33,forage_type_avail_vector34,forage_type_avail_vector35,forage_type_avail_vector36,forage_type_avail_vector37,forage_type_avail_vector38,forage_type_avail_vector39,forage_type_avail_vector40,forage_type_avail_vector41,forage_type_avail_vector42,forage_type_avail_vector43,forage_type_avail_vector44,forage_type_avail_vector45,forage_type_avail_vector46,forage_type_avail_vector47,forage_type_avail_vector48,forage_type_avail_vector49,forage_type_avail_vector50,forage_type_avail_vector51,forage_type_avail_vector52,forage_type_avail_vector53,forage_type_avail_vector54,forage_type_avail_vector55,forage_type_avail_vector56,forage_type_avail_vector57,forage_type_avail_vector58,forage_type_avail_vector59,forage_type_avail_vector60,forage_type_avail_vector61,forage_type_avail_vector62,forage_type_avail_vector63,forage_type_avail_vector64,forage_type_avail_vector65,forage_type_avail_vector66,forage_type_avail_vector67,forage_type_avail_vector68,forage_type_avail_vector69,forage_type_avail_vector70,forage_type_avail_vector71,forage_type_avail_vector72,forage_type_avail_vector73,forage_type_avail_vector74,forage_type_avail_vector75,forage_type_avail_vector76,forage_type_avail_vector77,forage_type_avail_vector78,forage_type_avail_vector79,forage_type_avail_vector80,forage_type_avail_vector81,forage_type_avail_vector82,forage_type_avail_vector83,forage_type_avail_vector84,forage_type_avail_vector85,forage_type_avail_vector86,forage_type_avail_vector87,forage_type_avail_vector88,forage_type_avail_vector89,forage_type_avail_vector90,forage_type_avail_vector91,forage_type_avail_vector92,forage_type_avail_vector93,forage_type_avail_vector94,forage_type_avail_vector95,forage_type_avail_vector96,forage_type_avail_vector97,forage_type_avail_vector98,forage_type_avail_vector99,forage_type_avail_vector100,forage_type_avail_vector101,forage_type_avail_vector102,forage_type_avail_vector103,forage_type_avail_vector104,forage_type_avail_vector105,forage_type_avail_vector106,forage_type_avail_vector107,forage_type_avail_vector108,forage_type_avail_vector109,forage_type_avail_vector110,forage_type_avail_vector111,forage_type_avail_vector112,forage_type_avail_vector113,forage_type_avail_vector114,forage_type_avail_vector115,forage_type_avail_vector116,forage_type_avail_vector117,forage_type_avail_vector118,forage_type_avail_vector119,forage_type_avail_vector120,forage_type_avail_vector121,forage_type_avail_vector122,forage_type_avail_vector123,forage_type_avail_vector124,FOOD_BIOMASS,FOOD_BIOMASS_UNCERTAINTY,METABOLIZABLE_ENERGY,METABOLIZABLE_ENERGY_UNCERTAINTY,ENERGY_UNIT,RATE_OF_CHANGE_RESERVE,RATE_OF_CHANGE_AVAILABLE,CARRYING_CAPACITY,N_FORAGING_GUILDS,FORAGING_GUILD_NAME,forage_type_pref1,TIME_VECTOR_POP,population_vector1,TIME_VECTOR_DEE,DEE_guild1,DEE_UNCERTAINTY,POP_UNCERTAINTY
124,AR_Federal_corn,91.7203512725704,ha,1,2.75161053817711,23.6395830194773,6.26267064078522,1758.77740784618,2203.53360735037,77.1719612779336,0,25.1023553872426,122.23573595627,35.1419524786954,48.6696627709386,3.18573836353649,38.4507131797902,0.134376616422319,341.018448020793,7014.10477721227,0.977462149573008,3348.41786760016,2885.59556298565,229.115926609786,1577.47855331008,1076.24095535605,4.55501157578026,0,460.236784868474,0.457151548563843,2.6641703788512,15.2714416850643,8.92561111444061,1.07735590282742,6.65548963211059,74.6298839841534,5.45138779991468,69.5934934855113,100.976946098447,2.2235263102456,0.151764339082919,315.617082642702,350.179205617384,0,1.26446053785966,2.86014669251077,12.6395946707344,1031.25815496009,441.367848958766,12.0291568621711,0,10.5524462646651,25.8107085931725,23.7888666576544,21.614927011542,66.0193982902281,7.32569606256816,3368.75243169759,1332.39156870361,1.57943090520251,687.867376720432,2295.96553134259,100.715770281566,3.65360768337135,2803.58540772505,10722.6207352074,0,11.2264870365188,112.89389824815,12.0404303861998,295.303795552834,1367.59845304818,0,43.5100735711766,0.217863807276157,17.3916680937438,914.966888155743,0.407872649215278,585.405646442442,146.192790014399,6.82961508737413,0.448310979740987,1959.64175496989,879.711055950283,12.1323880746005,20.7249951930761,0.538878222336588,108.580129692701,19.3197927745041,1759.73830604241,314.407101627987,0,8.55169713827531,61.7166281082417,0.0781832936988427,5.28060387803282,50.1980588258605,365.796641430783,923.113226133701,1.47327732715532,1845.04581211133,1322.95636671949,231.06582690624,17.95713797659,1666.42515795306,19.0908833941412,39.6716022687758,0,20.7299254998206,89.339292576034,4.32770988349738,0.221522913635618,0.508033953975099,7.50218781546723,294.10274618046,0.181052295511246,0.717270577909159,0.0914615853281027,6.14189850533741,3.39519736410686,158.60775603933,225.154551865131,13.1876450549817,7.36131791198905,46.1332809312263,305.561027224468,0,1.24511986014203,2752.11012000914,0.15,3670,0.05,kcal,-0.00465,-0.00465,,1,Dabbling Ducks,0.00806451612903226,1,143170,1,294.35,0.05,0.05
,AR_Federal_millet,51.3903978684289,,105,91.7203512725704,51.3903978684289,208.755688026174,1758.77740784618,2203.53360735037,857.466236421484,0,502.047107744852,5439.49025005402,35.1419524786954,1622.32209236462,106.19127878455,83.5885069125873,4.47922054741064,341.018448020793,77934.4975245808,32.5820716524336,66968.3573520033,128409.002552861,10195.6587341355,1577.47855331008,1076.24095535605,50.6112397308918,0,20480.5369266471,15.2383849521281,29.6018930983467,305.428833701285,397.189694592607,35.9118634275806,14.4684557219796,74.6298839841534,181.712926663823,1391.86986971023,4493.4741013809,74.1175436748534,5.05881130276395,315.617082642702,350.179205617384,0,25.2892107571931,127.276527816729,421.319822357815,1031.25815496009,441.367848958766,133.657298468567,0,211.048925293301,1148.57653239618,23.7888666576544,720.497567051401,143.520431065713,244.189868752272,3368.75243169759,14804.3507633734,52.6476968400836,13757.3475344086,102170.466144745,4481.85177752968,121.786922779045,2803.58540772505,10722.6207352074,0,224.529740730375,5023.7784720427,26.1748486656518,295.303795552834,1367.59845304818,0,1936.19827391736,9.69493942378898,579.722269791459,10166.298757286,13.5957549738426,11708.1129288488,6505.57915564074,227.653836245804,14.9436993246996,1959.64175496989,879.711055950283,242.647761492009,922.262286091886,17.9626074112196,236.043760201524,643.99309248347,1759.73830604241,314.407101627987,0,171.033942765506,2746.38995081676,2.60610978996142,5.28060387803282,1673.26862752868,365.796641430783,10256.8136237078,49.1092442385105,36900.9162422266,58871.5583190172,10282.4292973277,39.0372564708479,1666.42515795306,19.0908833941412,440.795580764176,0,414.598509996411,3975.59851963351,48.0856653721931,9.85776965678502,16.9344651325033,16.3091039466679,294.10274618046,3.62104591022491,23.9090192636386,4.07004054710057,204.729950177914,37.7244151567429,3172.15512078659,10019.3775579983,586.850204946688,245.377263732968,100.28974115484,305.561027224468,0,55.4078337763202,1500,0.15,2610,0.05,,-0.004777777,-0.004777777,,,,0.00806451612903226,16,401889,16,294.35,,
,AR_Federal_milo,208.755688026174,,210,24.764494843594,48.8208779750075,62.6267064078522,1758.77740784618,2203.53360735037,334.411832204379,0,190.777900943044,6111.7867978135,35.1419524786954,438.026964938448,31.8573836353649,79.409081566958,1.34376616422319,341.018448020793,30394.4540345865,9.77462149573008,25447.9757937612,144279.778149283,11455.7963304893,1577.47855331008,1076.24095535605,19.7383834950478,0,23011.8392434237,4.11436393707459,11.5447383083552,116.062956806488,446.28055572203,9.69620312544676,13.7450329358806,74.6298839841534,49.0624901992321,528.910550489886,5048.84730492235,20.0117367922104,1.51764339082919,315.617082642702,350.179205617384,0,9.6099000877334,143.007334625538,126.395946707344,1031.25815496009,441.367848958766,52.1263464027413,0,80.1985916114546,1290.53542965862,23.7888666576544,194.534343103878,136.344409512428,73.2569606256816,3368.75243169759,5773.69679771563,15.7943090520251,5227.79206307528,114798.27656713,5035.78851407829,36.5360768337135,2803.58540772505,10722.6207352074,0,85.3213014775425,5644.69491240752,24.8661062323693,295.303795552834,1367.59845304818,0,2175.50367855883,10.8931903638078,156.525012843694,3964.85651534155,4.07872649215278,4449.08291296256,7309.63950071993,61.4665357863672,4.48310979740987,1959.64175496989,879.711055950283,92.2061493669635,1036.2497596538,4.84990400102929,224.241572191447,193.197927745041,1759.73830604241,314.407101627987,0,64.9928982508924,3085.83140541209,0.781832936988427,5.28060387803282,451.782529432744,365.796641430783,4000.15731324604,14.7327732715532,14022.3481720461,66147.8183359744,11553.291345312,37.0853936473055,1666.42515795306,19.0908833941412,171.910276498029,0,157.547433798636,4466.9646288017,18.7534094951553,11.0761456817809,4.5723055857759,15.4936487493345,294.10274618046,1.37599744588547,6.45543520118243,4.57307926640514,55.2770865480367,14.7125219111297,1205.41894589891,11257.7275932565,659.382252749087,66.2518612079014,95.2752540970977,305.561027224468,0,62.2559930071014,2456.51235364365,0.15,3490,0.05,,-0.003222222,-0.003222222,,,,0.00806451612903226,32,836745,32,294.35,,
,AR_Federal_moist-soil,1758.77740784618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0.15,2470,0.05,,-0.002992857,-0.002992857,,,,0.00806451612903226,47,1539851,47,294.35,,
,AR_Federal_open-aquatic,2203.53360735037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,0.15,2868,0.05,,0,0,,,,0.00806451612903226,62,2489874,62,294.35,,
,AR_Federal_rice,857.466236421484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.14214319916,0.15,3340,0.05,,-0.00213,-0.00213,,,,0.00806451612903226,77,2748556,77,294.35,,
,AR_Federal_shrub swamp,1171.55097114396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.15,0,0.05,,0,0,,,,0.00806451612903226,93,3127486,93,294.35,,
,AR_Federal_soybeans,502.047107744852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.15,2650,0.05,,-0.01083,-0.01083,,,,0.00806451612903226,108,3329976,108,294.35,,
,AR_Federal_woody wetlands,6111.7867978135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.3142777019672,0.15,2760,0.05,,-3.7e-05,-3.7e-05,,,,0.00806451612903226,124,3433648,124,294.35,,
,AR_Other_moist-soil,35.1419524786954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0.15,2470,0.05,,-0.002992857,-0.002992857,,,,0.00806451612903226,139,3393342,139,294.35,,
