N_FORAGE_TYPES,FORAGE_TYPE_NAME,TOTAL_AREA_BY_FORAGE_TYPE,AREA_UNIT,TIME_VECTOR_FORAGE_TYPE,forage_type_avail_vector1,forage_type_avail_vector2,forage_type_avail_vector3,forage_type_avail_vector4,forage_type_avail_vector5,forage_type_avail_vector6,forage_type_avail_vector7,forage_type_avail_vector8,forage_type_avail_vector9,forage_type_avail_vector10,forage_type_avail_vector11,forage_type_avail_vector12,forage_type_avail_vector13,forage_type_avail_vector14,forage_type_avail_vector15,forage_type_avail_vector16,forage_type_avail_vector17,forage_type_avail_vector18,forage_type_avail_vector19,forage_type_avail_vector20,forage_type_avail_vector21,forage_type_avail_vector22,forage_type_avail_vector23,forage_type_avail_vector24,forage_type_avail_vector25,forage_type_avail_vector26,forage_type_avail_vector27,forage_type_avail_vector28,forage_type_avail_vector29,forage_type_avail_vector30,forage_type_avail_vector31,forage_type_avail_vector32,forage_type_avail_vector33,forage_type_avail_vector34,forage_type_avail_vector35,forage_type_avail_vector36,forage_type_avail_vector37,forage_type_avail_vector38,forage_type_avail_vector39,forage_type_avail_vector40,forage_type_avail_vector41,forage_type_avail_vector42,forage_type_avail_vector43,forage_type_avail_vector44,forage_type_avail_vector45,forage_type_avail_vector46,forage_type_avail_vector47,forage_type_avail_vector48,forage_type_avail_vector49,forage_type_avail_vector50,FOOD_BIOMASS,FOOD_BIOMASS_UNCERTAINTY,METABOLIZABLE_ENERGY,METABOLIZABLE_ENERGY_UNCERTAINTY,ENERGY_UNIT,RATE_OF_CHANGE_RESERVE,RATE_OF_CHANGE_AVAILABLE,CARRYING_CAPACITY,N_FORAGING_GUILDS,FORAGING_GUILD_NAME,forage_type_pref1,forage_type_pref2,TIME_VECTOR_POP,population_vector1,population_vector2,TIME_VECTOR_DEE,DEE_guild1,DEE_guild2,DEE_UNCERTAINTY,POP_UNCERTAINTY
50,AR_Private_corn,161.46571164445,ha,1,4.8439713493335,1.1580803441198,10469.0055642661,38.8981565523486,39.0963719557484,576.507886820195,534.488724876092,20.7237932515948,1033.82378895534,26.1568557573075,0,0.187894103203988,331.682723480006,0.548037778217247,11628.3528035841,96.082507970238,0.779754973590768,38.6322510026747,5588.88025422369,638.151614899962,52.2532662885885,58.8468983482842,690.51316891594,3.01539571540657,13.6640922645233,0,11.1454860481667,0.229187143813748,7492.24912482839,2.19318774533519,89.592076262416,6.69316254044681,6.23681652653996,2.50341494118723,1642.68995811056,32.131122931796,0.401343395501071,7.69006526847903,0.0590336073130613,17813.7707367951,4.84455294923778,0.1782,0.1215,4149.91351722112,337.78959877801,1.91396243341892,111.661088997999,19.772541488662,0,1.57690794815297,150,0.15,3670,0.05,kcal,-0.00465,-0.00465,,2,Dabbling Ducks,0.02,0,1,84764,16097,1,276.1,221.4,0.05,0.05
,AR_Private_millet,2.51756596547783,,105,161.46571164445,2.51756596547783,10469.0055642661,432.20173947054,781.927439114967,576.507886820195,23784.7482569861,922.208799695969,1033.82378895534,26.1568557573075,0,3.75788206407975,14759.8811948602,18.2679259405749,11628.3528035841,1067.58342189153,25.9918324530256,772.645020053494,5588.88025422369,28397.7468630483,2325.27034984219,127.928039887574,690.51316891594,3.01539571540657,151.823247383592,0,495.974129143419,7.63957146045827,7492.24912482839,43.8637549067038,89.592076262416,297.845733049883,277.538335431028,5.44220639388528,1642.68995811056,32.131122931796,8.02686791002142,342.207904447317,1.96778691043538,17813.7707367951,53.828366102642,5.94,2.43,4149.91351722112,15031.6371456214,85.1713282871417,111.661088997999,19.772541488662,0,70.1724036928073,45,0.15,2610,0.05,,-0.004777777,-0.004777777,,,Wood Ducks,0.02,0,16,253808,48198,16,276.1,221.4,0.05,0.05
,AR_Private_open-aquatic,10469.0055642661,,210,43.5957421440015,2.39168766720394,10469.0055642661,168.55867839351,297.132426863688,576.507886820195,26724.4362438046,1036.18966257974,1033.82378895534,26.1568557573075,0,1.42799518435031,16584.1361740003,4.93234000395522,11628.3528035841,416.357534537698,7.79754973590768,293.605107620328,5588.88025422369,31907.5807449981,2612.66331442942,121.531637893196,690.51316891594,3.01539571540657,59.2110664796008,0,557.274302408336,2.06268429432373,7492.24912482839,16.6682268645475,89.592076262416,334.65812702234,311.840826326998,5.17009607419102,1642.68995811056,32.131122931796,3.05020980580814,384.503263423952,0.531302465817552,17813.7707367951,20.9930627800304,1.782,0.9234,4149.91351722112,16889.4799389005,95.6981216709458,111.661088997999,19.772541488662,0,78.8453974076486,217,0.15,2868,0.05,,0,0,,,,0.02,0,32,495407,94077,32,276.1,221.4,,
,AR_Private_rice,432.20173947054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,0.15,3340,0.05,,-0.00213,-0.00213,,,,0.02,0,47,984499,186956,47,276.1,221.4,,
,AR_Private_soybeans,781.927439114967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.15,2650,0.05,,-0.01083,-0.01083,,,,0.02,0,62,1474179,279945,62,276.1,221.4,,
,AR_Private_wetland,576.507886820195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0.15,2470,0.05,,-0.002992857,-0.002992857,,,,0.02,0,77,1735823,329631,77,276.1,221.4,,
,AR_Private_woody wetlands,26724.4362438046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.429,0.15,2760,0.05,,-3.7e-05,-3.7e-05,,,,0.02,0.0526315789473684,93,1851686,351633,93,276.1,221.4,,
,AR_Private_wrp,1036.18966257974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,0.15,2470,0.05,,-0.000544175,-0.000544175,,,,0.02,0.0526315789473684,108,2103013,399360,108,276.1,221.4,,
,AR_PUBLIC_moist-soil,1033.82378895534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0.15,2470,0.05,,-0.002992857,-0.002992857,,,,0.02,0.0526315789473684,124,2103013,399360,124,276.1,221.4,,
,AR_PUBLIC_open-aquatic,26.1568557573075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,0.15,2868,0.05,,0,0,,,,0.02,0,139,2103013,399360,139,276.1,221.4,,
